year	month	day	tmin	tmean	tmax	radiation	rain	UM	wind	UN	UX	CO2	ETP
1980	1	1	1.3	5.35	9.4	211	22	-999	2.3	-999	-999	-999	0.9
1980	1	2	2.1	3.2	4.3	792	5	-999	2.2	-999	-999	-999	0
1980	1	3	-3	1	5	844	0	-999	0.4	-999	-999	-999	0
1980	1	4	-2	2.9	7.8	445	0	-999	1	-999	-999	-999	0.4
1980	1	5	1.3	5.5	9.7	604	11	-999	3	-999	-999	-999	0
1980	1	6	7	8.8	10.6	325	0	-999	2.1	-999	-999	-999	0.7
1980	1	7	3.5	7.6	11.7	810	0	-999	0.8	-999	-999	-999	0.1
1980	1	8	-0.3	4.75	9.8	270	0	-999	1	-999	-999	-999	0.6
1980	1	9	4.8	7.45	10.1	432	1.5	-999	1.7	-999	-999	-999	0.4
1980	1	10	4.9	7	9.1	553	6	-999	3.5	-999	-999	-999	0.9
1980	1	11	0.4	3.3	6.2	225	0	-999	3.4	-999	-999	-999	0.4
1980	1	12	-2	-1	0	227	0	-999	2.2	-999	-999	-999	0.1
1980	1	13	-5	-2.3	0.4	487	0	-999	1.5	-999	-999	-999	0.2
1980	1	14	-4	-0.6	2.8	361	0	-999	0.5	-999	-999	-999	0.2
1980	1	15	1	2.75	4.5	381	0	-999	2.6	-999	-999	-999	0.6
1980	1	16	0	1.15	2.3	411	0	-999	1.6	-999	-999	-999	0.4
1980	1	17	-3.7	-1.15	1.4	238	0	-999	1	-999	-999	-999	0.4
1980	1	18	-2.3	-1.15	0	240	0	-999	0.4	-999	-999	-999	0.2
1980	1	19	-6.5	-2.65	1.2	609	0	-999	0.5	-999	-999	-999	0.1
1980	1	20	-5	0	5	533	21	-999	0.8	-999	-999	-999	0.3
1980	1	21	0	3.5	7	284	0	-999	3.5	-999	-999	-999	0.9
1980	1	22	3	6.45	9.9	333	0	-999	2	-999	-999	-999	0.8
1980	1	23	2.1	6.1	10.1	484	7.5	-999	3.9	-999	-999	-999	1
1980	1	24	5.9	8.75	11.6	266	0	-999	0.7	-999	-999	-999	0.6
1980	1	25	7	9.9	12.8	269	4	-999	1	-999	-999	-999	0.5
1980	1	26	8	9.8	11.6	262	0	-999	1.2	-999	-999	-999	0.6
1980	1	27	1	5.85	10.7	1045	0	-999	1	-999	-999	-999	0.2
1980	1	28	-0.5	4.9	10.3	1025	0	-999	3.6	-999	-999	-999	1
1980	1	29	5	9.05	13.1	880	0	-999	2.4	-999	-999	-999	0.8
1980	1	30	6.6	9.4	12.2	791	0	-999	4.6	-999	-999	-999	1
1980	1	31	8.3	9.4	10.5	347	7	-999	4.3	-999	-999	-999	0.7
1980	2	1	7.5	8.4	9.3	440	8	-999	2.2	-999	-999	-999	0.8
1980	2	2	2	7.2	12.4	555	0	-999	2.8	-999	-999	-999	1.2
1980	2	3	9.5	11.4	13.3	450	0	-999	4.4	-999	-999	-999	1.2
1980	2	4	9.8	12.15	14.5	333	1.5	-999	3.9	-999	-999	-999	0.9
1980	2	5	11.9	13.55	15.2	767	0.5	-999	2.6	-999	-999	-999	0.9
1980	2	6	3.2	9.85	16.5	1023	0	-999	2.8	-999	-999	-999	1.4
1980	2	7	7.5	10.45	13.4	866	0	-999	1.5	-999	-999	-999	1.1
1980	2	8	1	7.4	13.8	1011	0	-999	5.4	-999	-999	-999	1.9
1980	2	9	9.7	11.55	13.4	386	0	-999	6.9	-999	-999	-999	1.4
1980	2	10	7	9.55	12.1	530	6.5	-999	2.7	-999	-999	-999	1.1
1980	2	11	5	7.4	9.8	912	0	-999	1.5	-999	-999	-999	0.8
1980	2	12	-1.6	4.5	10.6	965	0	-999	0.5	-999	-999	-999	0.6
1980	2	13	-2.3	4.55	11.4	821	0	-999	0.9	-999	-999	-999	0.9
1980	2	14	5.4	8.7	12	1062	1	-999	1	-999	-999	-999	0.7
1980	2	15	2.4	7.7	13	905	0	-999	5.3	-999	-999	-999	0.9
1980	2	16	8	10.5	13	678	4	-999	3.7	-999	-999	-999	1.1
1980	2	17	4.5	8.15	11.8	1297	0	-999	1.4	-999	-999	-999	0.9
1980	2	18	0	7	14	1012	0	-999	4.6	-999	-999	-999	2.1
1980	2	19	8.5	10.25	12	711	0	-999	9.4	-999	-999	-999	2.2
1980	2	20	8	9.5	11	893	0	-999	9.7	-999	-999	-999	1.9
1980	2	21	8	9.75	11.5	1358	0	-999	6.7	-999	-999	-999	1.6
1980	2	22	8.5	11.25	14	722	0	-999	5.3	-999	-999	-999	1.3
1980	2	23	9.5	11.15	12.8	373	0	-999	0.9	-999	-999	-999	0.8
1980	2	24	5.5	7	8.5	377	10	-999	1	-999	-999	-999	0.6
1980	2	25	5.5	8.75	12	382	0	-999	1.9	-999	-999	-999	1
1980	2	26	5.5	6	6.5	387	2	-999	1.4	-999	-999	-999	0.6
1980	2	27	5	7.25	9.5	404	0	-999	1.7	-999	-999	-999	0.8
1980	2	28	5.5	6.25	7	582	0	-999	1.6	-999	-999	-999	0.8
1980	2	29	-0.3	1.7	3.7	401	0	-999	1	-999	-999	-999	0.5
1980	3	1	0	5.25	10.5	1083	0	-999	0.7	-999	-999	-999	1.1
1980	3	2	-0.8	5.6	12	942	0	-999	0.7	-999	-999	-999	1.1
1980	3	3	3	5.6	8.2	416	0	-999	1.5	-999	-999	-999	0.5
1980	3	4	2	5	8	715	0	-999	0.8	-999	-999	-999	0.9
1980	3	5	-1.1	4.85	10.8	839	0	-999	0.9	-999	-999	-999	1.1
1980	3	6	1.7	7.85	14	430	7	-999	3.7	-999	-999	-999	1.3
1980	3	7	7.4	9.4	11.4	841	5.5	-999	5	-999	-999	-999	1.9
1980	3	8	5.5	7.95	10.4	717	15	-999	6.7	-999	-999	-999	1.7
1980	3	9	6.2	8.35	10.5	458	2.5	-999	3	-999	-999	-999	1.3
1980	3	10	5.4	7.9	10.4	557	0	-999	3	-999	-999	-999	1.3
1980	3	11	6.9	8.2	9.5	818	1	-999	3.8	-999	-999	-999	1.1
1980	3	12	5	8.35	11.7	473	0	-999	1.3	-999	-999	-999	1.1
1980	3	13	4.2	5.9	7.6	519	16	-999	4.3	-999	-999	-999	0.7
1980	3	14	1.3	4.15	7	1238	0.5	-999	4.9	-999	-999	-999	1.7
1980	3	15	2	4.05	6.1	474	7.5	-999	2	-999	-999	-999	1
1980	3	16	3.9	5.15	6.4	479	0	-999	3.5	-999	-999	-999	1.1
1980	3	17	2	6.45	10.9	1867	0	-999	0.9	-999	-999	-999	1.8
1980	3	18	0	7.55	15.1	1670	0	-999	5.8	-999	-999	-999	1.8
1980	3	19	8.9	11.8	14.7	989	13	-999	5.4	-999	-999	-999	2.3
1980	3	20	3.6	7.6	11.6	1480	0	-999	2.4	-999	-999	-999	2
1980	3	21	1.5	7.75	14	1361	0	-999	1.2	-999	-999	-999	1.8
1980	3	22	4.5	6.45	8.4	509	10	-999	2.5	-999	-999	-999	1.1
1980	3	23	-0.1	6.35	12.8	1857	0	-999	1.5	-999	-999	-999	2.1
1980	3	24	-1.1	7.7	16.5	2044	0	-999	0.9	-999	-999	-999	2.2
1980	3	25	6	9.25	12.5	1472	3	-999	1.6	-999	-999	-999	1.8
1980	3	26	5.5	10.25	15	733	1.5	-999	4.7	-999	-999	-999	2.4
1980	3	27	9.5	14.65	19.8	1462	0	-999	2	-999	-999	-999	2.5
1980	3	28	9.5	15.25	21	1693	0.5	-999	2	-999	-999	-999	2.9
1980	3	29	9.5	10.75	12	542	2	-999	1.9	-999	-999	-999	0.9
1980	3	30	5.5	9.75	14	1370	0.5	-999	1.4	-999	-999	-999	2.1
1980	3	31	8.5	15.25	22	2145	0	-999	0.8	-999	-999	-999	3.1
1980	4	1	10.5	14.5	18.5	1100	0	-999	3	-999	-999	-999	2.1
1980	4	2	9.8	11.9	14	1046	0	-999	6.5	-999	-999	-999	1.9
1980	4	3	6	9.15	12.3	1814	0	-999	3.2	-999	-999	-999	2.5
1980	4	4	1.7	6.45	11.2	2298	0	-999	3	-999	-999	-999	2.7
1980	4	5	1.1	6.25	11.4	2340	0	-999	2.4	-999	-999	-999	2.8
1980	4	6	3	7	11	1689	0	-999	3	-999	-999	-999	2.4
1980	4	7	4.5	8.85	13.2	1605	0	-999	4	-999	-999	-999	3.4
1980	4	8	4.6	8.45	12.3	774	0	-999	4	-999	-999	-999	2
1980	4	9	3	6.8	10.6	2089	0	-999	3.2	-999	-999	-999	3.1
1980	4	10	0	6.9	13.8	2428	0	-999	1	-999	-999	-999	2.8
1980	4	11	-0.5	8.25	17	2438	0	-999	4.9	-999	-999	-999	4.2
1980	4	12	8	12.45	16.9	2260	0	-999	7.4	-999	-999	-999	5.5
1980	4	13	9.8	13.9	18	2238	0	-999	8.2	-999	-999	-999	5.7
1980	4	14	11.5	13.25	15	1438	0	-999	10.9	-999	-999	-999	4.4
1980	4	15	11.8	12.15	12.5	634	7.5	-999	3.1	-999	-999	-999	1.8
1980	4	16	8	9.9	11.8	622	1	-999	0.6	-999	-999	-999	1.1
1980	4	17	6.3	11.15	16	1491	0	-999	0.9	-999	-999	-999	2.3
1980	4	18	10	12.85	15.7	662	2	-999	2.2	-999	-999	-999	1.9
1980	4	19	10.8	13.5	16.2	795	0	-999	5.9	-999	-999	-999	2.8
1980	4	20	7	11.75	16.5	1461	0.5	-999	6.5	-999	-999	-999	2.9
1980	4	21	2.7	7.1	11.5	1500	0	-999	4.4	-999	-999	-999	3.1
1980	4	22	5.4	9.05	12.7	2123	0	-999	3.9	-999	-999	-999	3.7
1980	4	23	8	9.25	10.5	861	5.5	-999	3	-999	-999	-999	2.1
1980	4	24	2.9	8	13.1	2431	0	-999	3.5	-999	-999	-999	3.8
1980	4	25	5	10.75	16.5	2292	0	-999	2.3	-999	-999	-999	3.5
1980	4	26	1.1	9.3	17.5	2365	0	-999	1.2	-999	-999	-999	3.2
1980	4	27	7	10.9	14.8	1025	0	-999	3.1	-999	-999	-999	2.5
1980	4	28	7.5	11.75	16	1704	0	-999	0.7	-999	-999	-999	2.7
1980	4	29	2.4	10.6	18.8	2304	0	-999	2.6	-999	-999	-999	3.8
1980	4	30	5.5	11.65	17.8	1203	0	-999	2	-999	-999	-999	2.1
1980	5	1	9.1	13.55	18	1290	0	-999	1.7	-999	-999	-999	2.5
1980	5	2	5	12	19	2423	0	-999	2	-999	-999	-999	3.6
