Year;Month;Day;Tmin;Tmax;Tmean;Rain;Radiation;Humidity;UN;UX;ETPP;Wind
1991;1;1;3.7;7.9;5.8;4.5;511;78;64;92;0.1;2.5
1991;1;2;2;9.7;5.8;1.4;70;88;81;95;0.5;5.4
1991;1;3;6.7;12.8;9.8;1.2;340;79;70;88;0.9;4
1991;1;4;4.5;8;6.2;0.4;160;82.5;75;90;0.7;2.9
1991;1;5;1.2;7.3;4.2;2.5;390;77.5;62;93;0.5;4.8
1991;1;6;4.9;8.1;6.5;7;140;84;72;96;0.5;3.5
1991;1;7;5.4;12.1;8.8;2.4;340;81;67;95;0.7;4.1
1991;1;8;1.9;9.9;5.9;2.6;340;81;70;92;0.4;2.9
1991;1;9;6;11.8;8.9;1.3;180;79.5;69;90;0.9;3.7
1991;1;10;8.8;13.5;11.1;1.6;310;72.5;65;80;1.2;5.4
1991;1;11;9.5;11.4;10.4;0.6;100;82;69;95;0.6;2.9
1991;1;12;4.9;8.1;6.5;0.3;240;86;78;94;0.4;0.9
1991;1;13;1.1;5.4;3.2;0;540;83;71;95;0.5;5.3
1991;1;14;0.9;3.4;2.2;0;190;77.5;70;85;1;4.4
1991;1;15;-1.8;4.7;1.4;0;540;79.5;70;89;0.1;1.4
1991;1;16;-3.9;3.9;0;0;660;84;74;94;0;0.7
1991;1;17;-4;5.5;0.8;0;660;82.5;70;95;0;0.7
1991;1;18;-4.8;3.9;-0.5;0;690;86;77;95;0;0.5
1991;1;19;-5;2.1;-1.5;3.6;80;96;94;98;0;0.5
1991;1;20;-2.7;4;0.6;0;500;90;82;98;0;2.3
1991;1;21;-1.8;1.8;0;0.8;170;95.5;93;98;0.1;1.1
1991;1;22;0.5;4;2.2;0;210;88;78;98;0.5;3
1991;1;23;-0.7;1.7;0.5;0;170;82;73;91;0.4;2.2
1991;1;24;-2.5;-1;-1.8;0;180;78;72;84;0.5;2.7
1991;1;25;-7.2;-1.2;-4.2;0;290;86;80;92;0.2;0.9
1991;1;26;-8;-2.1;-5.1;0;170;92;89;95;0.1;1.8
1991;1;27;-3.3;-1.2;-2.2;0;100;85;78;92;0.2;2.7
1991;1;28;-3.7;0.1;-1.8;0;270;78.5;68;89;0.5;2
1991;1;29;-8.9;0.3;-4.3;0;760;84;76;92;0;0.9
1991;1;30;-8.8;1.9;-3.5;0;940;80;68;92;0;0.5
1991;1;31;-7.9;-1.4;-4.7;0;100;94;92;96;0;0.9
1991;2;1;-2.9;0.4;-1.2;0;350;83.5;72;95;0.3;1
1991;2;2;-7.4;4.5;-1.5;0;830;79;66;92;0.1;0.6
1991;2;3;-6;4.1;-1;0;730;82.5;72;93;0.1;0.8
1991;2;4;-4.8;1.1;-1.9;0;300;84;78;90;0.5;2.4
1991;2;5;-7.1;-0.2;-3.6;0;790;68.5;54;83;0.7;4.1
1991;2;6;-7.9;-4.7;-6.3;0;460;78;68;88;0.5;2.5
1991;2;7;-12.5;-3.8;-8.1;2.7;450;77;64;90;0.4;2.5
1991;2;8;-8;-1.7;-4.8;4.8;830;73;52;94;0.4;2.5
1991;2;9;-9.7;3.7;-3;4.8;130;88;80;96;0.2;0.9
1991;2;10;-3.7;-1.2;-2.5;0.4;360;80.5;68;93;0.6;3.7
1991;2;11;-6.4;0.5;-3;0;660;83.5;75;92;0.4;3.4
1991;2;12;-6.2;-0.8;-3.5;2.4;750;79;64;94;0.4;2.5
1991;2;13;-8.3;0.5;-3.9;0;750;81.5;68;95;0.3;0.7
1991;2;14;-12.5;-1.1;-6.8;0;780;83.5;74;93;0.2;1.2
1991;2;15;-11.2;0.5;-5.3;0.5;800;80.5;67;94;0.1;3.8
1991;2;16;-2.7;4.6;0.9;0;540;93;88;98;0.4;1.7
1991;2;17;-4.7;3.3;-0.7;0;1160;78;65;91;0.5;2.8
1991;2;18;-0.3;4.7;2.2;0;830;84;76;92;0.5;1.3
1991;2;19;-4.5;8;1.8;0;1210;80;64;96;0.4;0.7
1991;2;20;-5.1;2.7;-1.2;0;960;94.5;93;96;0.3;0.6
1991;2;21;-5.3;4.9;-0.2;0.4;700;95;93;97;0.4;0.4
1991;2;22;-2.4;8;2.8;0;1260;81;64;98;0.5;1.6
1991;2;23;0.5;11.8;6.2;0;860;78;62;94;0.9;1.4
1991;2;24;-1.1;15.5;7.2;0;1200;74;52;96;0.8;0.5
1991;2;25;0.3;14.2;7.2;0;1140;72.5;52;93;1;1.2
1991;2;26;1.1;16.8;8.9;0;1180;72;52;92;1;0.8
1991;2;27;-0.2;14.2;7;2.6;1060;80;64;96;0.8;1.3
1991;2;28;6.6;9.1;7.9;0;500;84;75;93;0.8;1.5
1991;3;1;4.8;9.3;7.1;1;640;84.5;75;94;0.9;2.1
1991;3;2;5.1;13.1;9.1;4;550;82;68;96;0.9;1.5
1991;3;3;2.4;12.3;7.4;0;1110;76.5;58;95;1;1
1991;3;4;0.7;13.7;7.2;0;870;80.5;66;95;1;3.1
1991;3;5;8.8;15.5;12.1;0;750;71;53;89;2.2;4.6
1991;3;6;6.8;18.5;12.6;0.5;620;70;48;92;1.6;2.4
1991;3;7;9.5;15.7;12.6;2.5;500;75.5;61;90;1.3;1.6
1991;3;8;8.5;12.2;10.4;56.5;120;87.5;78;97;0.4;1.6
1991;3;9;8;13.2;10.6;1;570;81.5;65;98;1.2;1.9
1991;3;10;3.2;15.1;9.2;1.5;1210;76.5;55;98;1.2;1.3
1991;3;11;8.1;12.7;10.4;3.5;640;83.5;71;96;1.1;1.2
1991;3;12;2.9;15.4;9.1;0;1290;77;56;98;1.4;1.4
1991;3;13;2.5;17.7;10.1;0;1560;76;56;96;1.5;0.9
1991;3;14;2.6;17.8;10.2;0;1380;76.5;57;96;1.5;1
1991;3;15;3.3;16.8;10;0;1400;79.5;63;96;1.5;0.9
1991;3;16;2.6;18.8;10.7;0.5;1500;68.5;39;98;1.8;1.7
1991;3;17;7.6;14.5;11.1;1.5;950;78.5;62;95;1.6;2.3
1991;3;18;7.8;13.2;10.5;1;1060;72;52;92;1.8;2
1991;3;19;2.1;11.1;6.6;2.5;270;89;82;96;0.3;3.1
1991;3;20;9.4;16;12.7;0;830;85.5;74;97;1.4;2.1
1991;3;21;8.1;19.1;13.6;14;1020;75.5;53;98;2;2.6
1991;3;22;7.1;11.9;9.5;4;930;81;65;97;1.3;1.2
1991;3;23;1.7;13.1;7.4;1.5;1110;76.5;56;97;1.3;1.4
1991;3;24;7.6;11.8;9.7;0;610;80;70;90;1.9;5.2
1991;3;25;7.5;9;8.2;0;250;83.5;78;89;1.1;4.5
1991;3;26;5.5;10.1;7.8;9.5;280;91;86;96;0.5;1.4
1991;3;27;5.4;8.7;7.1;1.5;260;88;79;97;0.5;2
1991;3;28;1.4;11.2;6.3;0;1910;63;38;88;2.8;4
1991;3;29;-0.9;10.1;4.6;0;1980;53.5;35;72;2.9;3.9
1991;3;30;-1.5;10.9;4.7;0;1930;60;40;80;2.4;2.9
1991;3;31;0.6;13.5;7.1;0;1960;58.5;36;81;2.8;3.2
1991;4;1;2;17;9.5;0;1900;62;39;85;2.4;1.2
1991;4;2;0.5;17.3;8.9;0;1890;68;43;93;2.3;1.6
1991;4;3;0.9;14.7;7.8;0;910;72.5;49;96;1.6;2
1991;4;4;3.5;12.7;8.1;1;1430;70;48;92;2.3;3.4
1991;4;5;4.6;11.8;8.2;0;1280;68.5;45;92;2.2;2.3
1991;4;6;0.3;14.5;7.4;0;1940;65.5;39;92;2.3;1.5
1991;4;7;6.5;13.5;10;0;1100;66;50;82;2.4;2.7
1991;4;8;1.8;14.6;8.2;0;1410;73.5;52;95;2;1.9
1991;4;9;3.1;16.8;9.9;0;1650;67;41;93;2.4;1.7
1991;4;10;4.3;19.4;11.9;0;2180;62.5;39;86;3.1;1.7
1991;4;11;3.6;22.4;13;0;2060;54.5;21;88;3.1;1.2
1991;4;12;3.2;20.8;12;0;1990;63;38;88;2.9;1.3
1991;4;13;5.9;20.5;13.2;4.5;2020;67.5;42;93;3.1;1.7
1991;4;14;4.2;19.8;12;0.5;2080;69.5;42;97;2.9;1.4
1991;4;15;5.2;20.6;12.9;0;2220;56;26;86;3.7;2.8
1991;4;16;7.3;20.5;13.9;0;2210;52.5;29;76;4.7;4.1
1991;4;17;0.8;9;4.9;0;2090;58.5;39;78;3.7;6.2
1991;4;18;1.4;8.5;4.9;0.5;1940;62.5;35;90;3.2;4.9
1991;4;19;0.9;5.5;3.2;12.5;710;85;76;94;1.1;2.2
1991;4;20;-0.1;4.9;2.4;0.5;810;81;66;96;1.3;2.7
1991;4;21;-2.5;9.8;3.7;0;1970;60.5;32;89;2.2;1.1
1991;4;22;-3.2;9.8;3.3;3.5;1330;68.5;41;96;1.7;1.6
1991;4;23;0.5;9.6;5.1;0.5;1420;72.5;50;95;1.9;1.8
1991;4;24;-2.2;12.2;5;0;2370;64.5;35;94;2.6;1.1
1991;4;25;-1;14;6.5;0.5;2040;66;43;89;2.5;1.6
1991;4;26;3.8;16.7;10.2;0;1960;61;29;93;3.2;2
1991;4;27;2.6;15.6;9.1;4.5;1480;71.5;48;95;2.4;1.7
1991;4;28;6;15;10.5;0;1760;74;50;98;2.6;1.4
1991;4;29;0.9;17.2;9.1;2.5;2330;53.5;18;89;3.2;1.6
1991;4;30;8;13.5;10.8;13;700;83.5;70;97;1.4;3.5
1991;5;1;7.4;9.7;8.6;1.5;720;90;82;98;1.5;3.7
1991;5;2;4.7;9.8;7.2;0.5;700;77.5;67;88;1.8;4.8
1991;5;3;6.1;11;8.6;0;1340;66;49;83;3.2;4.9
1991;5;4;3.8;10;6.9;1;1080;73;52;94;2;2
1991;5;5;-0.6;11.4;5.4;0;2030;73;51;95;2.4;1.6
1991;5;6;1.5;12.2;6.8;0;1590;74.5;52;97;2.2;1.5
1991;5;7;2.4;12.9;7.6;0;1780;73.5;51;96;2.4;1.3
1991;5;8;4.9;16.7;10.8;0;1620;67.5;44;91;2.8;2.1
1991;5;9;4.4;19;11.7;0;2540;65;38;92;4.5;3.8
1991;5;10;6.7;17.4;12;0.5;2010;62;38;86;3.9;3.4
1991;5;11;8.1;17.2;12.7;0;1620;60.5;39;82;4.1;4.5
1991;5;12;6.2;15.9;11;0.5;1180;64.5;39;90;2.2;1.4
1991;5;13;2.6;19.6;11.1;0;2600;64.5;38;91;3.8;1.4
1991;5;14;7.9;17.9;12.9;0;790;63;38;88;2.1;2.2
1991;5;15;5.8;13.9;9.9;0.5;2070;62.5;38;87;3.9;4
1991;5;16;5.4;12.4;8.9;0;1830;63;38;88;3.6;4
1991;5;17;4.3;12.3;8.3;0;2140;63;41;85;3.7;3.5
1991;5;18;2.5;14.9;8.7;0;2230;63;37;89;3.7;3.2
1991;5;19;3.9;17.8;10.8;0;2320;57.5;33;82;3.9;2.2
1991;5;20;4.5;19.5;12;0;2280;68.5;47;90;3.6;1.7
1991;5;21;6.9;23.7;15.3;0;2390;70.5;47;94;4;1.4
1991;5;22;10.9;25.6;18.2;0;2390;66.5;40;93;4.8;2.5
1991;5;23;9.5;19;14.2;0;2810;57.5;29;86;5.8;4.2
1991;5;24;6;17.3;11.6;0;2840;52.5;26;79;5.1;3.3
1991;5;25;3.1;19.9;11.5;0;2830;58;35;81;5;2.4
1991;5;26;8;21.9;14.9;0;2530;61;35;87;5.2;2.8
1991;5;27;7.1;22.4;14.8;0;2920;60;35;85;6.1;3.2
1991;5;28;7.1;24.8;15.9;0;2910;59;35;83;5.5;1.8
