Year	Month	Day	Tmin	Tmax	Radiation	Rain	Humidity	Wind	UN	UX	-CO2	ETPP
1991	1	1	3.7	7.9	511	4.5	78	2.5	64	92	-999	0.1
1991	1	2	2	9.7	70	1.4	88	5.4	81	95	-999	0.5
1991	1	3	6.7	12.8	340	1.2	79	4	70	88	-999	0.9
1991	1	4	4.5	8	160	0.4	82.5	2.9	75	90	-999	0.7
1991	1	5	1.2	7.3	390	2.5	77.5	4.8	62	93	-999	0.5
1991	1	6	4.9	8.1	140	7	84	3.5	72	96	-999	0.5
1991	1	7	5.4	12.1	340	2.4	81	4.1	67	95	-999	0.7
1991	1	8	1.9	9.9	340	2.6	81	2.9	70	92	-999	0.4
1991	1	9	6	11.8	180	1.3	79.5	3.7	69	90	-999	0.9
1991	1	10	8.8	13.5	310	1.6	72.5	5.4	65	80	-999	1.2
1991	1	11	9.5	11.4	100	0.6	82	2.9	69	95	-999	0.6
1991	1	12	4.9	8.1	240	0.3	86	0.9	78	94	-999	0.4
1991	1	13	1.1	5.4	540	0	83	5.3	71	95	-999	0.5
1991	1	14	0.9	3.4	190	0	77.5	4.4	70	85	-999	1
1991	1	15	-1.8	4.7	540	0	79.5	1.4	70	89	-999	0.1
1991	1	16	-3.9	3.9	660	0	84	0.7	74	94	-999	0
1991	1	17	-4	5.5	660	0	82.5	0.7	70	95	-999	0
1991	1	18	-4.8	3.9	690	0	86	0.5	77	95	-999	0
1991	1	19	-5	2.1	80	3.6	96	0.5	94	98	-999	0
1991	1	20	-2.7	4	500	0	90	2.3	82	98	-999	0
1991	1	21	-1.8	1.8	170	0.8	95.5	1.1	93	98	-999	0.1
1991	1	22	0.5	4	210	0	88	3	78	98	-999	0.5
1991	1	23	-0.7	1.7	170	0	82	2.2	73	91	-999	0.4
1991	1	24	-2.5	-1	180	0	78	2.7	72	84	-999	0.5
1991	1	25	-7.2	-1.2	290	0	86	0.9	80	92	-999	0.2
1991	1	26	-8	-2.1	170	0	92	1.8	89	95	-999	0.1
1991	1	27	-3.3	-1.2	100	0	85	2.7	78	92	-999	0.2
1991	1	28	-3.7	0.1	270	0	78.5	2	68	89	-999	0.5
1991	1	29	-8.9	0.3	760	0	84	0.9	76	92	-999	0
1991	1	30	-8.8	1.9	940	0	80	0.5	68	92	-999	0
1991	1	31	-7.9	-1.4	100	0	94	0.9	92	96	-999	0
1991	2	1	-2.9	0.4	350	0	83.5	1	72	95	-999	0.3
1991	2	2	-7.4	4.5	830	0	79	0.6	66	92	-999	0.1
1991	2	3	-6	4.1	730	0	82.5	0.8	72	93	-999	0.1
1991	2	4	-4.8	1.1	300	0	84	2.4	78	90	-999	0.5
1991	2	5	-7.1	-0.2	790	0	68.5	4.1	54	83	-999	0.7
1991	2	6	-7.9	-4.7	460	0	78	2.5	68	88	-999	0.5
1991	2	7	-12.5	-3.8	450	2.7	77	2.5	64	90	-999	0.4
1991	2	8	-8	-1.7	830	4.8	73	2.5	52	94	-999	0.4
1991	2	9	-9.7	3.7	130	4.8	88	0.9	80	96	-999	0.2
1991	2	10	-3.7	-1.2	360	0.4	80.5	3.7	68	93	-999	0.6
1991	2	11	-6.4	0.5	660	0	83.5	3.4	75	92	-999	0.4
1991	2	12	-6.2	-0.8	750	2.4	79	2.5	64	94	-999	0.4
1991	2	13	-8.3	0.5	750	0	81.5	0.7	68	95	-999	0.3
1991	2	14	-12.5	-1.1	780	0	83.5	1.2	74	93	-999	0.2
1991	2	15	-11.2	0.5	800	0.5	80.5	3.8	67	94	-999	0.1
1991	2	16	-2.7	4.6	540	0	93	1.7	88	98	-999	0.4
