year	month	day	tmin	tmean	tmax	radiation	rain	UM	wind	UN	UX	CO2	ETP
2017	1	1	8.4	9.95	11.5	281	0	91	1.6	84	97	-999	0.4
2017	1	2	5.8	8.6	11.4	393	0.5	84	1	66	96	-999	0.5
2017	1	3	1.7	3.75	5.8	236	0	95	0.7	87	98	-999	0.2
2017	1	4	1	3.5	6	341	0	85	1.2	65	98	-999	0.3
2017	1	5	-0.6	2.45	5.5	224	0	83	1.1	70	89	-999	0.4
2017	1	6	-0.3	1.15	2.6	233	0.5	80	2.1	65	93	-999	0.6
2017	1	7	-3.5	-2.2	-0.9	463	0	80	2.9	63	92	-999	0.4
2017	1	8	-4	-2.25	-0.5	495	0.5	83	0.7	68	94	-999	0.2
2017	1	9	-5.4	-1.45	2.5	183	5	92	0.6	83	97	-999	0.1
2017	1	10	-0.1	3.6	7.3	346	0	92	0.9	78	97	-999	0.2
2017	1	11	-0.7	3.85	8.4	730	0.5	93	1	69	98	-999	0.1
2017	1	12	-1.9	0.1	2.1	335	0	98	1.1	97	98	-999	0.1
2017	1	13	-2.9	2.3	7.5	615	0	86	1.1	62	98	-999	0.1
2017	1	14	4.6	7.1	9.6	515	0	87	1.9	61	96	-999	0.6
2017	1	15	-1.7	4.35	10.4	879	0.5	78	2.7	44	97	-999	0.4
2017	1	16	4.7	8.4	12.1	849	0	81	2.6	61	95	-999	0.6
2017	1	17	1.5	6	10.5	545	0	89	0.8	62	97	-999	0.3
2017	1	18	0.2	6.65	13.1	404	1.5	87	2	58	97	-999	0.3
2017	1	19	7.8	9.55	11.3	202	13.5	87	3.2	78	95	-999	0.8
2017	1	20	3	6.6	10.2	763	0.5	80	1.8	52	93	-999	0.5
2017	1	21	1.7	4.4	7.1	632	0	79	2.6	71	92	-999	0.5
2017	1	22	0.3	4.1	7.9	329	27	89	2.5	61	97	-999	0.4
2017	1	23	5.8	10.15	14.5	225	14	89	3.4	70	99	-999	0.7
2017	1	24	7	8.9	10.8	238	1	74	6	55	94	-999	2
2017	1	25	0.4	5.9	11.4	862	11.5	82	2.3	48	96	-999	0.5
2017	1	26	2.9	5.75	8.6	509	1.5	86	3.1	71	92	-999	0.6
2017	1	27	5.8	7.5	9.2	425	0	83	3	66	91	-999	1
2017	1	28	2.8	4.9	7	333	14	95	0.9	85	98	-999	0.3
2017	1	29	5	8.35	11.7	684	0	91	0.7	68	98	-999	0.5
2017	1	30	0.3	5.15	10	901	0	87	4.1	74	98	-999	0.4
