YEAR;MONTH;DAY;HOUR;TH;RAIN;RADIATION;WIND;RH
2017;1;1;0;-1.1;0;0;5;100
2017;1;1;1;-0.3;0;0;4;100
2017;1;1;2;-0.1;0;0;3;100
2017;1;1;3;-0.2;0;0;4;100
2017;1;1;4;-0.4;0;0;3;100
2017;1;1;5;0;0;0;2;100
2017;1;1;6;0.1;0;0;2;100
2017;1;1;7;0.9;0;3;2;100
2017;1;1;8;1.7;0;17;2;100
2017;1;1;9;3;0;41;3;100
2017;1;1;10;4.4;0;68;4;97
2017;1;1;11;5.8;0;74;4;87
2017;1;1;12;6.8;0;83;3;83
2017;1;1;13;8.2;0;68;4;80
2017;1;1;14;8.4;0;59;4;78
2017;1;1;15;6.8;0;15;3;86
2017;1;1;16;5.3;0;1;0;95
2017;1;1;17;5.8;0;0;1;95
2017;1;1;18;4.2;0;0;0;99
2017;1;1;19;2.7;0;0;0;100
2017;1;1;20;1.9;0;0;1;100
2017;1;1;21;1;0;0;0;100
2017;1;1;22;0;0;0;1;100
2017;1;1;23;1;0;0;0;100
2017;1;2;0;2.5;0;0;1;100
2017;1;2;1;3.3;0;0;3;100
2017;1;2;2;2.8;0;0;4;100
2017;1;2;3;2;0;0;1;100
2017;1;2;4;1.9;0;0;1;100
2017;1;2;5;2;0;0;1;100
2017;1;2;6;0.5;0;0;1;100
2017;1;2;7;0.3;0;6;1;100
2017;1;2;8;3.7;0;37;1;100
2017;1;2;9;5.8;0;70;6;93
2017;1;2;10;8;0;110;4;82
2017;1;2;11;10.1;0;123;4;77
2017;1;2;12;11.7;0;128;4;71
2017;1;2;13;11.5;0;93;3;71
2017;1;2;14;10.2;0;27;6;73
2017;1;2;15;7.8;0;12;6;78
2017;1;2;16;5.6;0;1;6;83
2017;1;2;17;4.5;0;0;9;86
2017;1;2;18;3.9;0;0;9;87
2017;1;2;19;3.8;0;0;11;79
2017;1;2;20;3.3;0;0;14;78
2017;1;2;21;2.8;0;0;16;80
2017;1;2;22;2.6;0.5;0;16;81
2017;1;2;23;2.9;0;0;17;80
2017;1;3;0;3;0;0;21;81
2017;1;3;1;3;0;0;23;80
2017;1;3;2;3;0;0;24;81
2017;1;3;3;3.2;0;0;17;79
2017;1;3;4;3.2;0;0;20;81
2017;1;3;5;3.3;0;0;17;80
2017;1;3;6;3.5;0;0;18;78
2017;1;3;7;3.5;0;7;22;78
2017;1;3;8;3.6;0;37;22;78
2017;1;3;9;4.2;0;91;20;74
2017;1;3;10;4.4;0;126;18;72
2017;1;3;11;4.6;0;141;18;71
2017;1;3;12;5;0;135;19;66
2017;1;3;13;4.9;0;112;19;66
2017;1;3;14;4.4;0;70;16;66
2017;1;3;15;3.5;0;25;16;68
2017;1;3;16;2.6;0;1;15;71
2017;1;3;17;2.1;0;0;13;73
2017;1;3;18;1.7;0;0;13;75
2017;1;3;19;1.6;0;0;13;75
2017;1;3;20;1.4;0;0;13;76
2017;1;3;21;1.1;0;0;11;77
2017;1;3;22;0.9;0;0;11;78
2017;1;3;23;0.6;0;0;9;80
2017;1;4;0;0.7;0;0;10;80
2017;1;4;1;0.9;0;0;11;80
2017;1;4;2;0.7;0;0;12;80
2017;1;4;3;0.6;0;0;10;80
2017;1;4;4;0.7;0;0;12;78
2017;1;4;5;0.6;0;0;9;78
2017;1;4;6;1.1;0;0;11;75
2017;1;4;7;1.7;0;4;14;72
2017;1;4;8;3.2;0;47;15;65
2017;1;4;9;5;0;95;16;54
2017;1;4;10;6.3;0;131;18;47
2017;1;4;11;7.7;0;145;20;40
2017;1;4;12;8.8;0;141;18;36
2017;1;4;13;8.9;0;116;21;35
2017;1;4;14;8.3;0;76;21;36
2017;1;4;15;6.9;0;28;23;43
2017;1;4;16;5.9;0;1;23;54
2017;1;4;17;5.9;0;0;26;57
2017;1;4;18;6;0;0;25;59
2017;1;4;19;5.5;0;0;20;63
2017;1;4;20;5.4;0;0;18;64
2017;1;4;21;5.5;0;0;17;67
2017;1;4;22;5.1;0;0;20;73
2017;1;4;23;5.1;0;0;20;75
2017;1;5;0;5;0;0;18;74
2017;1;5;1;5;0;0;21;73
2017;1;5;2;4.8;0;0;18;75
2017;1;5;3;4.8;0;0;21;73
2017;1;5;4;4.6;0;0;21;68
2017;1;5;5;4.7;0;0;19;67
2017;1;5;6;4.4;0;0;25;65
2017;1;5;7;4.8;0;5;27;65
2017;1;5;8;5.3;0;49;26;62
2017;1;5;9;6.1;0;100;28;60
2017;1;5;10;6.3;0;132;25;61
2017;1;5;11;6.5;0;148;27;58
2017;1;5;12;7;0;143;27;52
2017;1;5;13;7.2;0;118;28;47
